epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.3732,2.42099,3.76385,1.60859,0.01962,0.81478,0.20182,0.11838,1.42463,3.30942,1.03545,0.000328042,0.000328042,0.000328042
2,60.4947,1.50277,1.971,1.11828,0.60407,0.64088,0.63358,0.36989,1.29104,1.7344,1.02387,0.000595899,0.000595899,0.000595899
3,89.3051,1.34231,1.51303,1.06653,0.79064,0.75712,0.82482,0.54855,1.13759,1.18006,0.98771,0.000797757,0.000797757,0.000797757
4,117.104,1.241,1.22184,1.03257,0.80058,0.79532,0.86036,0.49422,1.37322,1.11718,1.05723,0.000703,0.000703,0.000703
5,142.117,1.1866,1.08136,1.01566,0.8701,0.86183,0.91985,0.64129,1.07186,0.82803,0.96873,0.000604,0.000604,0.000604
6,169.753,1.15789,1.01613,1.00156,0.90819,0.86755,0.92774,0.57404,1.28119,0.84327,1.00706,0.000505,0.000505,0.000505
7,197.051,1.13913,0.94594,0.98684,0.90131,0.88016,0.94006,0.69355,0.92857,0.72283,0.9343,0.000406,0.000406,0.000406
8,224.33,1.05845,0.87656,0.96423,0.91328,0.90054,0.94881,0.65643,1.07587,0.70745,0.96523,0.000307,0.000307,0.000307
9,249.531,1.02627,0.81813,0.95602,0.91603,0.9034,0.95457,0.70216,0.92644,0.65024,0.92894,0.000208,0.000208,0.000208
10,277.122,0.99683,0.78994,0.95062,0.91156,0.91519,0.95582,0.71398,0.89814,0.62905,0.91828,0.000109,0.000109,0.000109
