epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2072.75,2.01097,4.36361,1.75548,0.84556,0.75247,0.82894,0.38582,1.74272,1.33794,1.58266,0.000332518,0.000332518,0.000332518
2,2202.14,1.75001,2.04863,1.5777,0.86371,0.85067,0.9073,0.45848,1.61158,1.1596,1.52115,0.000599932,0.000599932,0.000599932
3,2330.31,1.68773,1.45197,1.54314,0.86918,0.87412,0.92211,0.46971,1.58792,1.04059,1.55541,0.000801346,0.000801346,0.000801346
4,2453.77,1.65662,1.22236,1.51684,0.91485,0.91567,0.94434,0.49352,1.57495,0.90136,1.49126,0.000703,0.000703,0.000703
5,2578.45,1.58904,1.08127,1.47312,0.95677,0.89575,0.96401,0.5058,1.58778,0.84088,1.53293,0.000604,0.000604,0.000604
6,2705.05,1.56297,0.98593,1.45166,0.96247,0.95508,0.97944,0.53581,1.51501,0.74851,1.45892,0.000505,0.000505,0.000505
7,2830.38,1.52273,0.90513,1.41792,0.96132,0.94401,0.97443,0.53968,1.52634,0.71505,1.452,0.000406,0.000406,0.000406
8,2957.31,1.49799,0.8641,1.40627,0.97277,0.96853,0.98155,0.54593,1.48312,0.67877,1.43403,0.000307,0.000307,0.000307
9,3081.89,1.46339,0.80347,1.37603,0.9643,0.97353,0.98758,0.56708,1.45751,0.63583,1.41155,0.000208,0.000208,0.000208
10,3206.18,1.43074,0.76408,1.35441,0.97831,0.97537,0.98915,0.5744,1.44712,0.61272,1.40394,0.000109,0.000109,0.000109
