epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2730.52,1.9045,3.19935,1.61415,0.86652,0.80192,0.86611,0.41199,1.75316,1.23553,1.55106,0.000332518,0.000332518,0.000332518
2,2859.19,1.71999,1.68081,1.45728,0.89716,0.85489,0.89767,0.45132,1.60248,1.04252,1.41446,0.000599932,0.000599932,0.000599932
3,2988.92,1.66385,1.37587,1.41742,0.93102,0.86758,0.91674,0.46823,1.58034,1.00405,1.4235,0.000801346,0.000801346,0.000801346
4,3117.84,1.63631,1.19737,1.40429,0.93509,0.90243,0.95219,0.48787,1.57625,0.8864,1.39095,0.000703,0.000703,0.000703
5,3250.55,1.58241,1.06188,1.3615,0.94592,0.90655,0.94973,0.49236,1.58517,0.81976,1.39532,0.000604,0.000604,0.000604
6,3379.96,1.56662,0.97671,1.35311,0.97321,0.93213,0.97661,0.52505,1.53413,0.74916,1.38898,0.000505,0.000505,0.000505
7,3509.73,1.52804,0.89804,1.32215,0.9683,0.95459,0.98374,0.54107,1.51436,0.69517,1.35175,0.000406,0.000406,0.000406
8,3637.56,1.50015,0.86286,1.29972,0.96906,0.96176,0.98192,0.55748,1.48368,0.65623,1.32414,0.000307,0.000307,0.000307
9,3764.05,1.46833,0.8069,1.28548,0.98032,0.96962,0.99008,0.5677,1.47181,0.6242,1.32809,0.000208,0.000208,0.000208
10,3888.07,1.43224,0.76498,1.26339,0.97514,0.98006,0.98884,0.56531,1.47127,0.60985,1.30848,0.000109,0.000109,0.000109
