epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1031.09,4.01151,7.05132,1.90499,1e-05,0.00083,0,0,3.87956,4.24071,1.54805,0.000331502,0.000331502,0.000331502
2,1090.73,3.65232,5.50088,1.55385,0.00181,0.05866,0.00152,0.00037,3.72608,4.17827,1.51781,0.000599016,0.000599016,0.000599016
3,1147.88,3.60634,5.03953,1.53263,0.00239,0.08543,0.00219,0.00068,3.62515,4.21246,1.45912,0.000800531,0.000800531,0.000800531
4,1202.35,3.52781,4.74387,1.51572,0.18741,0.02423,0.00555,0.00185,3.55474,4.2946,1.43376,0.000703,0.000703,0.000703
5,1257.45,3.44127,4.52832,1.50371,0.00601,0.18204,0.00693,0.00228,3.47997,4.11795,1.41716,0.000604,0.000604,0.000604
6,1314.19,3.34245,4.32798,1.46909,0.37195,0.02259,0.00899,0.00293,3.42371,3.90216,1.39971,0.000505,0.000505,0.000505
7,1371.47,3.28957,4.16154,1.43138,0.1031,0.02445,0.012,0.00354,3.32848,3.77397,1.35931,0.000406,0.000406,0.000406
8,1428.47,3.21557,4.02891,1.4087,0.1233,0.03912,0.01424,0.00462,3.23244,3.64341,1.33563,0.000307,0.000307,0.000307
9,1485.05,3.15363,3.91359,1.39264,0.09349,0.04287,0.01921,0.00652,3.17787,3.53299,1.3165,0.000208,0.000208,0.000208
10,1541.75,3.11098,3.82078,1.3801,0.12047,0.0499,0.01893,0.00717,3.12067,3.46577,1.30289,0.000109,0.000109,0.000109
