epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,862.884,4.16215,6.95291,1.82869,0,0,0,0,3.99573,4.27116,1.67392,0.000331502,0.000331502,0.000331502
2,922.3,3.7796,5.4134,1.50129,0.66698,0.00278,9e-05,2e-05,3.94867,4.38583,1.58524,0.000651671,0.000651671,0.000651671
3,981.13,3.71825,4.9855,1.49147,0.00198,0.05645,0.0016,0.00045,3.83713,4.48881,1.57456,0.000958641,0.000958641,0.000958641
4,1040.12,3.68085,4.76894,1.46199,0.00776,0.07802,0.00581,0.00112,3.80676,4.6146,1.59716,0.0009406,0.0009406,0.0009406
5,1099.72,3.63102,4.68269,1.45975,0.67526,0.02014,0.00504,0.00141,3.60135,4.21805,1.48973,0.0009208,0.0009208,0.0009208
6,1158.54,3.56224,4.5001,1.41664,0.00402,0.17567,0.00567,0.00169,3.5199,4.16431,1.46501,0.000901,0.000901,0.000901
7,1218.36,3.48492,4.32101,1.39046,0.23464,0.02646,0.00826,0.00242,3.48237,3.93531,1.42213,0.0008812,0.0008812,0.0008812
8,1277.82,3.46022,4.24739,1.37993,0.03821,0.03811,0.00894,0.00263,3.47266,3.82483,1.40981,0.0008614,0.0008614,0.0008614
9,1337.07,3.43519,4.17969,1.3701,0.0277,0.09827,0.0096,0.00278,3.33039,3.75499,1.38341,0.0008416,0.0008416,0.0008416
10,1396.91,3.38814,4.10592,1.35499,0.0242,0.09215,0.01176,0.00361,3.36338,3.73245,1.38817,0.0008218,0.0008218,0.0008218
11,1456.13,3.36856,4.02123,1.3554,0.36652,0.02845,0.01302,0.00377,3.2812,3.80288,1.34426,0.000802,0.000802,0.000802
12,1516.28,3.33136,3.96479,1.34618,0.0564,0.03516,0.01372,0.00434,3.27851,3.5523,1.34,0.0007822,0.0007822,0.0007822
13,1576.21,3.33403,3.87474,1.3367,0.05847,0.051,0.01607,0.00555,3.26379,3.54073,1.34444,0.0007624,0.0007624,0.0007624
14,1636.2,3.28931,3.83018,1.3255,0.05932,0.04869,0.01581,0.00544,3.19735,3.52026,1.32224,0.0007426,0.0007426,0.0007426
15,1695.64,3.273,3.78059,1.31819,0.04177,0.034,0.01322,0.00394,3.36852,3.48909,1.34669,0.0007228,0.0007228,0.0007228
16,1755.43,3.26017,3.75372,1.31224,0.03882,0.0878,0.01655,0.00549,3.20815,3.46873,1.31339,0.000703,0.000703,0.000703
17,1815.34,3.23262,3.72435,1.30606,0.12942,0.03551,0.01906,0.00663,3.1351,3.40947,1.29813,0.0006832,0.0006832,0.0006832
18,1875.6,3.21929,3.65565,1.30243,0.1181,0.04796,0.02268,0.00811,3.14709,3.34887,1.29638,0.0006634,0.0006634,0.0006634
19,1935.51,3.16847,3.61025,1.29561,0.09894,0.03907,0.02553,0.00848,3.12593,3.36091,1.30207,0.0006436,0.0006436,0.0006436
20,1995.58,3.17815,3.6009,1.28814,0.23577,0.05245,0.02234,0.00734,3.13358,3.34691,1.29421,0.0006238,0.0006238,0.0006238
21,2054.86,3.16516,3.57374,1.28505,0.09251,0.06232,0.02111,0.00699,3.07565,3.36759,1.27736,0.000604,0.000604,0.000604
22,2114.67,3.16446,3.57287,1.28482,0.08213,0.05833,0.02177,0.00826,3.0482,3.25526,1.26892,0.0005842,0.0005842,0.0005842
23,2174.07,3.1267,3.50327,1.27609,0.12412,0.06196,0.02496,0.00858,3.08264,3.25135,1.25308,0.0005644,0.0005644,0.0005644
24,2233.94,3.14662,3.53504,1.27468,0.12664,0.04673,0.02302,0.00692,3.11175,3.30636,1.27595,0.0005446,0.0005446,0.0005446
25,2293.31,3.08808,3.45212,1.2578,0.14441,0.06359,0.02472,0.00743,3.04144,3.30792,1.26671,0.0005248,0.0005248,0.0005248
26,2352.7,3.06647,3.40209,1.25089,0.28461,0.04377,0.02965,0.0099,3.00063,3.20852,1.25034,0.000505,0.000505,0.000505
27,2413.54,3.08985,3.45634,1.25161,0.13672,0.05189,0.02557,0.00947,2.98826,3.18263,1.24495,0.0004852,0.0004852,0.0004852
28,2473.13,3.0903,3.42765,1.24926,0.11937,0.04507,0.02924,0.00912,3.05575,3.21109,1.25195,0.0004654,0.0004654,0.0004654
29,2534.11,3.06972,3.40128,1.25276,0.12848,0.05852,0.02685,0.00947,3.01484,3.24249,1.24825,0.0004456,0.0004456,0.0004456
30,2594.05,3.03389,3.35535,1.24384,0.10425,0.04853,0.02648,0.00944,3.02348,3.2152,1.24104,0.0004258,0.0004258,0.0004258
31,2654.48,3.04129,3.37718,1.24243,0.11661,0.0615,0.02835,0.01031,2.95723,3.18011,1.23168,0.000406,0.000406,0.000406
32,2713.69,3.01554,3.31848,1.23521,0.14391,0.06224,0.0323,0.01203,2.92241,3.16669,1.2276,0.0003862,0.0003862,0.0003862
33,2773.12,3.00464,3.30638,1.23561,0.21922,0.05522,0.03368,0.012,2.93989,3.17387,1.23098,0.0003664,0.0003664,0.0003664
34,2832.12,2.98557,3.3034,1.23018,0.14416,0.05261,0.03479,0.0129,2.93979,3.14339,1.22077,0.0003466,0.0003466,0.0003466
35,2891.44,2.99192,3.2927,1.22555,0.15411,0.06743,0.03396,0.01313,2.9007,3.1241,1.22704,0.0003268,0.0003268,0.0003268
36,2951.42,2.97008,3.25041,1.22597,0.13775,0.05273,0.03564,0.01424,2.93356,3.13565,1.23615,0.000307,0.000307,0.000307
37,3012.04,2.97193,3.25733,1.21704,0.10835,0.05362,0.03305,0.01338,2.96227,3.14558,1.23416,0.0002872,0.0002872,0.0002872
38,3072.87,2.94718,3.25245,1.22163,0.13501,0.05977,0.03804,0.01421,2.89663,3.10398,1.22319,0.0002674,0.0002674,0.0002674
39,3132.49,2.94252,3.22511,1.21205,0.10905,0.05822,0.03521,0.01308,2.93517,3.12278,1.22375,0.0002476,0.0002476,0.0002476
40,3192.21,2.91691,3.19528,1.2172,0.10885,0.06191,0.03664,0.0141,2.89325,3.05965,1.21654,0.0002278,0.0002278,0.0002278
41,3255.86,2.83747,3.12532,1.26859,0.11652,0.05877,0.03876,0.01382,2.90922,3.05857,1.21924,0.000208,0.000208,0.000208
42,3310.76,2.77584,3.07712,1.2618,0.14396,0.05832,0.04141,0.01516,2.90253,3.02654,1.20992,0.0001882,0.0001882,0.0001882
43,3367.1,2.74773,3.05109,1.24937,0.12181,0.05592,0.03961,0.01547,2.86516,3.03771,1.20498,0.0001684,0.0001684,0.0001684
44,3423.76,2.74157,3.03453,1.24159,0.15703,0.06446,0.04223,0.01681,2.86556,2.98897,1.20412,0.0001486,0.0001486,0.0001486
45,3480.71,2.70137,3.00058,1.23502,0.13548,0.06943,0.04328,0.01608,2.8488,3.02308,1.20208,0.0001288,0.0001288,0.0001288
46,3537.15,2.69393,3.0007,1.23743,0.12332,0.06035,0.04516,0.01633,2.85821,2.99327,1.20309,0.000109,0.000109,0.000109
47,3593.55,2.66827,2.96266,1.22802,0.11688,0.05772,0.04318,0.01598,2.84468,2.9655,1.2018,8.92e-05,8.92e-05,8.92e-05
48,3648.49,2.69041,2.95791,1.23128,0.1474,0.06509,0.04352,0.01593,2.82721,2.96122,1.19761,6.94e-05,6.94e-05,6.94e-05
49,3704.19,2.67135,2.93938,1.22151,0.13631,0.06014,0.04263,0.01624,2.81212,2.95921,1.19575,4.96e-05,4.96e-05,4.96e-05
50,3760.49,2.65213,2.93342,1.22766,0.12634,0.06582,0.04391,0.01627,2.81502,2.96187,1.19432,2.98e-05,2.98e-05,2.98e-05
